onset	duration	trial_type	value
119.0	5.0	ElectricalVAS3	1.0
149.0	5.0	ElectricalVAS7	1.0
179.0	5.0	ElectricalVAS7	1.0
209.0	5.0	ElectricalVAS7	1.0
239.0	5.0	ElectricalVAS3	1.0
269.0	5.0	ElectricalVAS3	1.0
29.0	5.0	ElectricalVAS3	1.0
299.0	5.0	ElectricalVAS3	1.0
329.0	5.0	ElectricalVAS7	1.0
359.0	5.0	ElectricalVAS3	1.0
389.0	5.0	ElectricalVAS7	1.0
419.0	5.0	ElectricalVAS7	1.0
449.0	5.0	ElectricalVAS3	1.0
479.0	5.0	ElectricalVAS3	1.0
509.0	5.0	ElectricalVAS7	1.0
539.0	5.0	ElectricalVAS7	1.0
59.0	5.0	ElectricalVAS7	1.0
89.0	5.0	ElectricalVAS3	1.0
