name	type	source	detector	wavelength_nominal	units
S1-D1-690.0	NIRSCWAMPLITUDE	S1	D1	690.0	AU
S1-D17-690.0	NIRSCWAMPLITUDE	S1	D17	690.0	AU
S2-D1-690.0	NIRSCWAMPLITUDE	S2	D1	690.0	AU
S2-D2-690.0	NIRSCWAMPLITUDE	S2	D2	690.0	AU
S2-D18-690.0	NIRSCWAMPLITUDE	S2	D18	690.0	AU
S3-D1-690.0	NIRSCWAMPLITUDE	S3	D1	690.0	AU
S3-D3-690.0	NIRSCWAMPLITUDE	S3	D3	690.0	AU
S3-D19-690.0	NIRSCWAMPLITUDE	S3	D19	690.0	AU
S4-D1-690.0	NIRSCWAMPLITUDE	S4	D1	690.0	AU
S4-D2-690.0	NIRSCWAMPLITUDE	S4	D2	690.0	AU
S4-D3-690.0	NIRSCWAMPLITUDE	S4	D3	690.0	AU
S4-D4-690.0	NIRSCWAMPLITUDE	S4	D4	690.0	AU
S4-D20-690.0	NIRSCWAMPLITUDE	S4	D20	690.0	AU
S5-D3-690.0	NIRSCWAMPLITUDE	S5	D3	690.0	AU
S5-D5-690.0	NIRSCWAMPLITUDE	S5	D5	690.0	AU
S5-D21-690.0	NIRSCWAMPLITUDE	S5	D21	690.0	AU
S6-D3-690.0	NIRSCWAMPLITUDE	S6	D3	690.0	AU
S6-D4-690.0	NIRSCWAMPLITUDE	S6	D4	690.0	AU
S6-D5-690.0	NIRSCWAMPLITUDE	S6	D5	690.0	AU
S6-D6-690.0	NIRSCWAMPLITUDE	S6	D6	690.0	AU
S6-D22-690.0	NIRSCWAMPLITUDE	S6	D22	690.0	AU
S7-D7-690.0	NIRSCWAMPLITUDE	S7	D7	690.0	AU
S7-D9-690.0	NIRSCWAMPLITUDE	S7	D9	690.0	AU
S7-D23-690.0	NIRSCWAMPLITUDE	S7	D23	690.0	AU
S8-D7-690.0	NIRSCWAMPLITUDE	S8	D7	690.0	AU
S8-D8-690.0	NIRSCWAMPLITUDE	S8	D8	690.0	AU
S8-D9-690.0	NIRSCWAMPLITUDE	S8	D9	690.0	AU
S8-D10-690.0	NIRSCWAMPLITUDE	S8	D10	690.0	AU
S8-D24-690.0	NIRSCWAMPLITUDE	S8	D24	690.0	AU
S9-D9-690.0	NIRSCWAMPLITUDE	S9	D9	690.0	AU
S9-D11-690.0	NIRSCWAMPLITUDE	S9	D11	690.0	AU
S9-D25-690.0	NIRSCWAMPLITUDE	S9	D25	690.0	AU
S10-D9-690.0	NIRSCWAMPLITUDE	S10	D9	690.0	AU
S10-D10-690.0	NIRSCWAMPLITUDE	S10	D10	690.0	AU
S10-D11-690.0	NIRSCWAMPLITUDE	S10	D11	690.0	AU
S10-D12-690.0	NIRSCWAMPLITUDE	S10	D12	690.0	AU
S10-D26-690.0	NIRSCWAMPLITUDE	S10	D26	690.0	AU
S11-D11-690.0	NIRSCWAMPLITUDE	S11	D11	690.0	AU
S11-D27-690.0	NIRSCWAMPLITUDE	S11	D27	690.0	AU
S12-D11-690.0	NIRSCWAMPLITUDE	S12	D11	690.0	AU
S12-D12-690.0	NIRSCWAMPLITUDE	S12	D12	690.0	AU
S12-D28-690.0	NIRSCWAMPLITUDE	S12	D28	690.0	AU
S13-D13-690.0	NIRSCWAMPLITUDE	S13	D13	690.0	AU
S13-D14-690.0	NIRSCWAMPLITUDE	S13	D14	690.0	AU
S13-D29-690.0	NIRSCWAMPLITUDE	S13	D29	690.0	AU
S14-D14-690.0	NIRSCWAMPLITUDE	S14	D14	690.0	AU
S14-D15-690.0	NIRSCWAMPLITUDE	S14	D15	690.0	AU
S14-D30-690.0	NIRSCWAMPLITUDE	S14	D30	690.0	AU
S15-D15-690.0	NIRSCWAMPLITUDE	S15	D15	690.0	AU
S15-D16-690.0	NIRSCWAMPLITUDE	S15	D16	690.0	AU
S15-D31-690.0	NIRSCWAMPLITUDE	S15	D31	690.0	AU
S1-D1-830.0	NIRSCWAMPLITUDE	S1	D1	830.0	AU
S1-D17-830.0	NIRSCWAMPLITUDE	S1	D17	830.0	AU
S2-D1-830.0	NIRSCWAMPLITUDE	S2	D1	830.0	AU
S2-D2-830.0	NIRSCWAMPLITUDE	S2	D2	830.0	AU
S2-D18-830.0	NIRSCWAMPLITUDE	S2	D18	830.0	AU
S3-D1-830.0	NIRSCWAMPLITUDE	S3	D1	830.0	AU
S3-D3-830.0	NIRSCWAMPLITUDE	S3	D3	830.0	AU
S3-D19-830.0	NIRSCWAMPLITUDE	S3	D19	830.0	AU
S4-D1-830.0	NIRSCWAMPLITUDE	S4	D1	830.0	AU
S4-D2-830.0	NIRSCWAMPLITUDE	S4	D2	830.0	AU
S4-D3-830.0	NIRSCWAMPLITUDE	S4	D3	830.0	AU
S4-D4-830.0	NIRSCWAMPLITUDE	S4	D4	830.0	AU
S4-D20-830.0	NIRSCWAMPLITUDE	S4	D20	830.0	AU
S5-D3-830.0	NIRSCWAMPLITUDE	S5	D3	830.0	AU
S5-D5-830.0	NIRSCWAMPLITUDE	S5	D5	830.0	AU
S5-D21-830.0	NIRSCWAMPLITUDE	S5	D21	830.0	AU
S6-D3-830.0	NIRSCWAMPLITUDE	S6	D3	830.0	AU
S6-D4-830.0	NIRSCWAMPLITUDE	S6	D4	830.0	AU
S6-D5-830.0	NIRSCWAMPLITUDE	S6	D5	830.0	AU
S6-D6-830.0	NIRSCWAMPLITUDE	S6	D6	830.0	AU
S6-D22-830.0	NIRSCWAMPLITUDE	S6	D22	830.0	AU
S7-D7-830.0	NIRSCWAMPLITUDE	S7	D7	830.0	AU
S7-D9-830.0	NIRSCWAMPLITUDE	S7	D9	830.0	AU
S7-D23-830.0	NIRSCWAMPLITUDE	S7	D23	830.0	AU
S8-D7-830.0	NIRSCWAMPLITUDE	S8	D7	830.0	AU
S8-D8-830.0	NIRSCWAMPLITUDE	S8	D8	830.0	AU
S8-D9-830.0	NIRSCWAMPLITUDE	S8	D9	830.0	AU
S8-D10-830.0	NIRSCWAMPLITUDE	S8	D10	830.0	AU
S8-D24-830.0	NIRSCWAMPLITUDE	S8	D24	830.0	AU
S9-D9-830.0	NIRSCWAMPLITUDE	S9	D9	830.0	AU
S9-D11-830.0	NIRSCWAMPLITUDE	S9	D11	830.0	AU
S9-D25-830.0	NIRSCWAMPLITUDE	S9	D25	830.0	AU
S10-D9-830.0	NIRSCWAMPLITUDE	S10	D9	830.0	AU
S10-D10-830.0	NIRSCWAMPLITUDE	S10	D10	830.0	AU
S10-D11-830.0	NIRSCWAMPLITUDE	S10	D11	830.0	AU
S10-D12-830.0	NIRSCWAMPLITUDE	S10	D12	830.0	AU
S10-D26-830.0	NIRSCWAMPLITUDE	S10	D26	830.0	AU
S11-D11-830.0	NIRSCWAMPLITUDE	S11	D11	830.0	AU
