onset	duration	trial_type	value
119.98	5.0	ThermalVAS7	1.0
149.98	5.0	ThermalVAS7	1.0
179.98	5.0	ThermalVAS3	1.0
209.98	5.0	ThermalVAS7	1.0
239.98	5.0	ThermalVAS3	1.0
269.98	5.0	ThermalVAS3	1.0
299.98	5.0	ThermalVAS3	1.0
330.0	5.0	ThermalVAS7	1.0
360.0	5.0	ThermalVAS3	1.0
390.0	5.0	ThermalVAS3	1.0
420.0	5.0	ThermalVAS7	1.0
450.0	5.0	ThermalVAS7	1.0
480.0	5.0	ThermalVAS7	1.0
510.0	5.0	ThermalVAS3	1.0
540.0	5.0	ThermalVAS3	1.0
570.0	5.0	ThermalVAS3	1.0
59.98	5.0	ThermalVAS3	1.0
600.0	5.0	ThermalVAS7	1.0
630.0	5.0	ThermalVAS7	1.0
89.98	5.0	ThermalVAS3	1.0
